local_hour,SOILWATER_10CM,Total
0,0.01709515089901234,0.01709515089901234
1,0.015553643435657486,0.015553643435657486
2,0.012899019197256905,0.012899019197256905
3,0.013437544528992087,0.013437544528992087
4,0.008027740689776344,0.008027740689776344
5,-0.005835052110934454,-0.005835052110934454
6,0.01788193541569861,0.01788193541569861
7,0.04492223774107986,0.04492223774107986
8,0.029386562567330715,0.029386562567330715
9,0.01577864897168809,0.01577864897168809
10,-0.004161127205934011,-0.004161127205934011
11,0.004512939321174552,0.004512939321174552
12,0.009585586676392999,0.009585586676392999
13,0.005621649836157378,0.005621649836157378
14,0.004149569977849007,0.004149569977849007
15,0.005697203659014091,0.005697203659014091
16,0.009470806400353408,0.009470806400353408
17,0.009399406476310915,0.009399406476310915
18,0.013001799625730092,0.013001799625730092
19,0.026865358401011657,0.026865358401011657
20,0.03527032581324514,0.03527032581324514
21,0.0287532131531578,0.0287532131531578
22,0.023441928423304746,0.023441928423304746
23,0.020424773862687432,0.020424773862687432
