local_hour,FSH,Total
0,-0.1253345782430902,-0.1253345782430902
1,-0.12443534842104613,-0.12443534842104613
2,-0.12159848253617014,-0.12159848253617014
3,-0.11452909337173803,-0.11452909337173803
4,-0.10940687054519461,-0.10940687054519461
5,-0.06740387844652661,-0.06740387844652661
6,-0.02258865522875659,-0.02258865522875659
7,-0.010988837150369538,-0.010988837150369538
8,0.03317424552976708,0.03317424552976708
9,0.09937191538380796,0.09937191538380796
10,0.11200946826751552,0.11200946826751552
11,0.07583070475329583,0.07583070475329583
12,0.06541619604438861,0.06541619604438861
13,0.05515495418265094,0.05515495418265094
14,0.04728060581083857,0.04728060581083857
15,0.0402786644912857,0.0402786644912857
16,0.03324277987819362,0.03324277987819362
17,0.027599799085172003,0.027599799085172003
18,0.008431748750434974,0.008431748750434974
19,-0.07212302922895729,-0.07212302922895729
20,-0.11838690444544021,-0.11838690444544021
21,-0.12604566076691873,-0.12604566076691873
22,-0.12783154941569852,-0.12783154941569852
23,-0.12568924508786972,-0.12568924508786972
