local_hour,hw_nohw_diff_HEAT_FROM_AC,Total
0,0.0010899816,0
1,0.0009652892,0
2,0.00085845165,0
3,0.00076894305,0
4,0.00071514293,0
5,0.00067809667,0
6,0.0006575096,0
7,0.0006491943,0
8,0.0007259479,0
9,0.00076633453,0
10,0.0008324628,0
11,0.00099308,0
12,0.0012293701,0
13,0.0014548769,0
14,0.0016523798,0
15,0.0017833092,0
16,0.0018198128,0
17,0.0018042502,0
18,0.0018200004,0
19,0.0017408702,0
20,0.0016185612,0
21,0.0015064345,0
22,0.0013716769,0
23,0.0012300903,0
