local_hour,Double_Differencing_FGR,Total
0,-25.111727,0
1,-24.703663,0
2,-24.300406,0
3,-23.88086,0
4,-22.972946,0
5,-18.98299,0
6,-11.833538,0
7,0.36526793,0
8,12.023796,0
9,24.358257,0
10,37.196213,0
11,41.802307,0
12,40.445408,0
13,38.56632,0
14,31.228455,0
15,17.777546,0
16,3.1992235,0
17,-6.8651304,0
18,-17.32958,0
19,-26.78355,0
20,-26.88029,0
21,-26.304499,0
22,-26.214458,0
23,-25.63171,0
