local_hour,FGR,FIRA,FSA,FSH,HEAT_FROM_AC,Q2M,Qstor,SOILWATER_10CM,U10,Total
0,0.0005707272224500202,0.02328466609929754,4.624439008889166e-06,-0.02714129020147201,-6.941833539944303e-05,-0.0019924969471073577,0.01084985532427678,0.0019265934299093346,-0.00990490011265394,-0.0024716390816901853
1,-0.0007684908472315355,0.022562106494718057,6.888223236120862e-06,-0.02746588128446619,3.512180624562437e-05,-0.0019052198236459827,0.011106050759634587,0.0014480342727406807,-0.009267514441828023,-0.004248904840596663
2,-0.0013170941388007177,0.022047259646800765,-2.3466943119364582e-05,-0.026810348727763895,1.8832072044394215e-05,-0.0021299434451756707,0.01160542828717561,0.0008458631582913723,-0.009493849281543629,-0.0052573193720911356
3,-0.003606376125457597,0.021088043471717215,-0.00017126911574462492,-0.026085389088559143,2.6156590456754947e-05,-0.002141698000705932,0.011955023918742525,0.0014138115217386714,-0.008439151588986206,-0.005960848416798336
4,-0.005599305809954918,0.020711026766544686,-0.0018953783144119597,-0.026177352488564426,-3.586058135752813e-06,-0.0015104773291269298,0.011646717762907755,0.0005321543424730646,-0.0037694236860412716,-0.006065624814309753
5,-0.004618340071607634,0.026643917906472678,-0.00900706975075416,-0.018057601788708463,0.00012797543567675542,-0.0009782702429230981,0.0093931234633673,-0.002243615692638464,0.005553943340505926,0.006814062599390839
6,-0.0029792347449055356,0.008067729704427679,-0.004781130644245718,-0.005298794061149916,-0.00019393694299470307,0.004358299257048268,0.005941987663012712,0.0036087458276573173,0.009921591934620357,0.01864525799347046
7,-0.0063598733807192906,0.017852776889788712,0.0007372035223531057,-0.0013643816628219276,-0.00018256802247592146,0.005116091969777714,-0.006731599335055899,0.009223221139138692,0.019169029718004663,0.03745990083798985
8,-0.007124774082119456,0.01776757195807513,-0.0024547183793241075,0.008598451421819336,-0.0003195700630239534,0.012084490926742377,-0.008906805555408761,0.0056195732133088065,0.022144189259519758,0.047408408699589136
9,-0.009939471651256552,-0.010288701028621356,0.0044869057110828794,0.02132246262653298,-0.00011169700480659074,0.01611007822586779,-0.00783400724691784,0.0033792857977563394,0.013528125887514095,0.030652981317151745
10,-0.011025703366847245,-0.020921402867496153,0.0001597984396535558,0.024943671161581436,3.421693042350149e-05,0.021538643375829482,-0.009494398672097205,0.0003814034465754149,-0.0016419001334121624,0.003974328314210625
11,-0.008123521756497967,-0.010149699172497199,0.0005758685893792175,0.014847804720254806,-5.064057692982052e-05,0.01359104806633781,-0.006700219126891625,0.0016760791987749154,-0.0017700004665249312,0.003896719475405208
12,-0.006608446064338016,-0.005413122822411755,0.002234893596036974,0.013482648438189384,7.547385282090352e-05,0.008053077533941109,-0.004104829489480235,0.002755282726879334,-0.002485657808726678,0.007989319962911022
13,-0.004405748490206504,-0.00288083120383677,0.0036312276127141163,0.010296569761052147,0.00016161972845998276,0.003044041993281498,-0.0027485270398680626,0.0022920369452561363,-0.00322978300773255,0.0061606062991199926
14,-0.001751306227821228,-0.00037235833630876815,0.0018341952395186064,0.009811904349361423,0.00011623417387529972,0.0026716906937892066,-0.0019968271991672505,0.001976796362214391,-0.0052595586041709035,0.007030770451290776
15,-0.0016249530525752822,0.004045934546709805,0.0020335928907564086,0.008939820936784349,8.279157069053563e-05,0.004427320541671222,-0.0009642152440784149,0.001833774151192178,-0.006129217287891338,0.012644849053259459
16,-0.0021315198479728453,0.00813553638245403,0.0020250972479669543,0.008391870174082583,0.00011793637062833017,0.004940356559457796,0.0005526168318387169,0.001995236199279319,-0.007043812000491145,0.01698331791724374
17,-0.0009090385497520858,0.00873338670079047,-0.0003843504616130029,0.00819599197352782,1.251393259519915e-05,0.004087194418240219,0.0011617699703122732,0.002657205747548191,-0.007065929395777738,0.016488744335871348
18,0.003489177083239259,0.010393439571177547,-0.001970447102599311,0.005819631107098015,-0.00011680619390707655,-0.00408253446041891,0.003612211429738518,0.0032828754920883694,-0.006213993048933631,0.014213553877482783
19,0.006667937845628112,0.007511720881923678,0.001856937856670979,-0.014525966168388513,-0.00038506063519143147,-0.010000345774733061,0.006581380487846554,0.006160043029851394,-0.010065714029026727,-0.0061990665054190135
20,0.005042247263773475,0.01639400931349796,0.003008658790908779,-0.02688628071853836,-8.691755914773321e-05,-0.004875165505841537,0.007123080398033735,0.006397389250323789,-0.012159786941195686,-0.006042765708185575
21,0.003146429413946269,0.02101378520608652,-0.00035131968292138026,-0.02754830765646892,1.2849212943785474e-05,-0.001789475429653164,0.008390921844758661,0.004823460372186486,-0.01186466205180413,-0.004166318770925873
22,0.0018809528057748199,0.024324059230121983,-7.652983938760327e-05,-0.028023082350171095,0.00012054412142848103,-0.003112651167928627,0.009592793427746237,0.0033192759870886144,-0.011077939944287785,-0.003052577729614975
23,0.001177814669144529,0.023690793825879127,-9.727505110272853e-06,-0.027234023155243203,1.3795451276907328e-05,-0.002266195966779732,0.009947760315706274,0.0026262843208820323,-0.01017735342142297,-0.002230851465667311
