local_hour,SOILWATER_10CM,Total
0,0.0019265934299093346,0.0019265934299093346
1,0.0014480342727406807,0.0014480342727406807
2,0.0008458631582913723,0.0008458631582913723
3,0.0014138115217386714,0.0014138115217386714
4,0.0005321543424730646,0.0005321543424730646
5,-0.002243615692638464,-0.002243615692638464
6,0.0036087458276573173,0.0036087458276573173
7,0.009223221139138692,0.009223221139138692
8,0.0056195732133088065,0.0056195732133088065
9,0.0033792857977563394,0.0033792857977563394
10,0.0003814034465754149,0.0003814034465754149
11,0.0016760791987749154,0.0016760791987749154
12,0.002755282726879334,0.002755282726879334
13,0.0022920369452561363,0.0022920369452561363
14,0.001976796362214391,0.001976796362214391
15,0.001833774151192178,0.001833774151192178
16,0.001995236199279319,0.001995236199279319
17,0.002657205747548191,0.002657205747548191
18,0.0032828754920883694,0.0032828754920883694
19,0.006160043029851394,0.006160043029851394
20,0.006397389250323789,0.006397389250323789
21,0.004823460372186486,0.004823460372186486
22,0.0033192759870886144,0.0033192759870886144
23,0.0026262843208820323,0.0026262843208820323
