local_hour,FGR,Total
0,0.006173525914000329,0.006173525914000329
1,0.0015515122573712345,0.0015515122573712345
2,-0.0009358307321855109,-0.0009358307321855109
3,-0.01008901611598303,-0.01008901611598303
4,-0.01751745418573474,-0.01751745418573474
5,-0.012918392034251516,-0.012918392034251516
6,0.0015931440738478002,0.0015931440738478002
7,-0.017576604885463164,-0.017576604885463164
8,-0.0331195434819962,-0.0331195434819962
9,-0.04647660953307084,-0.04647660953307084
10,-0.0520305155750328,-0.0520305155750328
11,-0.04291476039512736,-0.04291476039512736
12,-0.03332986033699448,-0.03332986033699448
13,-0.02323633637150738,-0.02323633637150738
14,-0.012746372304480535,-0.012746372304480535
15,-0.011688972714775,-0.011688972714775
16,-0.010117623259213126,-0.010117623259213126
17,-0.003690510033192073,-0.003690510033192073
18,0.015693202717864875,0.015693202717864875
19,0.028660952486162777,0.028660952486162777
20,0.017477688190059033,0.017477688190059033
21,0.01804520829767245,0.01804520829767245
22,0.012902222616653136,0.012902222616653136
23,0.008145814933704596,0.008145814933704596
