local_hour,FGR,FIRA,FSA,FSH,HEAT_FROM_AC,Q2M,Qstor,SOILWATER_10CM,U10,Total
0,0.00017079535741610226,0.015785033535584258,-0.00011515356415459823,0.04340557029948446,0.0005692056889957933,0.005738701614437909,-0.021403126160048868,0.010404091487321724,0.025263435710176824,0.0798185539692136
1,0.0015835311001702564,0.020185920157391547,-8.263015323620374e-05,0.046103943630282196,0.0007008807948989888,0.00629404992349916,-0.023149397694084774,0.010146152469251178,0.027423918459498434,0.08920636868767079
2,0.0031754365356159646,0.024986354446370443,0.0003618325972758001,0.04871268359443661,0.000712782548465314,0.006298657506460419,-0.024626316755135564,0.009731371929082239,0.02929929885186529,0.09865210125443652
3,0.004771669522961292,0.026107516254495144,0.005147458676049207,0.045695140616074686,0.0005104393175435368,0.006861825824410781,-0.026273068946341262,0.007968624637634689,0.029439773098788875,0.10022937900161694
4,0.006410880449578287,0.02022999180876243,0.020883576094684105,0.03833019897994172,-5.364260001839365e-05,0.005739976608199049,-0.0281846619769058,0.006224392160141516,0.024462808366688023,0.09404351989107096
5,0.004490114375769213,0.011960953694819282,0.022142657349057904,0.029741048463581835,-0.0011391429344313477,0.008331259444457938,-0.028075856107483563,0.004116651320190365,0.013585177878172235,0.06515286348413386
6,-0.0017486716107403095,-0.0029827080982425427,0.02634135228048741,0.023962942766520504,-0.0021804008142194253,0.014517179592522494,-0.018335109280405604,0.007086226118883963,-0.014737858272927453,0.03192295268187903
7,0.005806465630047097,-0.018864400561157884,0.02725524695124,0.011906550785869583,-0.0005500461233029087,-0.0037362621936847264,-0.010352037891775114,0.010562655765214013,-0.024600391155234314,-0.0025722187927842526
8,0.006146098513919328,-0.02065105414502211,0.00627843510597545,-0.0038509496328836645,-0.0006598620221088277,-0.0022197057658884375,-0.0058919333968076235,0.007300815137666576,-0.013698408802786033,-0.02724656500793534
9,0.004330857769475502,-0.02761571340609028,-0.004003096549227619,-0.017789303219798623,-0.000554101977667186,0.013418531625530696,0.0028243365399477772,-0.0012324308304477345,-0.002888414390897585,-0.03350933443917505
10,0.006334594721274284,-0.012535219160488885,0.006020321348801479,-0.018194245338561926,-0.0006904573804754974,0.01302455940213666,0.00494963130296727,-0.00651058654947548,-0.009559755307841292,-0.017161156961663385
11,0.010323438264187029,-0.007522939958008539,0.002223417273333305,-0.013037961130088715,-0.00048746192798120074,-0.0007094646216263455,0.002862217487606885,-0.006238154994179512,-0.00029369554337439394,-0.012880605150131487
12,0.008860413512720345,-0.009554050891640528,-0.004927080428625591,-0.00765664853055906,-0.0003386929650330363,-0.007876269604045994,0.002081836146201646,-0.005562937464950754,0.002938005831392752,-0.022035424394540218
13,0.00754738696940221,-0.007886768725615704,-0.007113820700475365,-0.007627789303242759,-0.0005011531648921863,-0.009611494985958435,0.0015995916189848905,-0.0038450708870610526,0.0043447181956106406,-0.02309440098324776
14,0.006106205854836661,-0.005779345655665079,-0.0071201171462816045,-0.00542845346959999,-0.0004300558780086929,-0.007469707673444422,0.001248352971229685,-0.002524996735634382,0.005179822426224142,-0.01621829530634368
15,0.005781886077169438,-0.00448825469660113,-0.005744918575448011,-0.004442534785776537,-0.00042601375156808743,-0.0013274982163903571,0.0010827204329217697,-0.0009683626763655488,0.005894968858391081,-0.0046380073336673815
16,0.0033219267954733653,-0.0010795337623944743,-0.002920732744972685,-0.0017400918155561426,-0.0005549029272563218,0.009373748809177587,0.0008695110834686195,-0.0010553271130679916,0.00542140400008766,0.011636002324959618
17,0.0005817460952725945,-0.000416001876871491,0.0012501547093493094,0.002715301066150237,-0.0008649646911128408,0.022881825267506012,0.0007867319570182929,-0.0009022586783185862,0.00556759634816006,0.03160013019715359
18,-0.001380182969611723,0.0018321286471073889,0.00468033009758917,0.012927713845465883,-0.0019625791562842268,0.032767597769182435,-0.0016322849436330798,0.0005671570397519947,0.006747760182001596,0.054547640511569434
19,-0.0010930256035299023,0.011142572750023286,0.004024521314158456,0.03332419037712895,-0.003529176894274643,0.042260627237716716,-0.014274901072710164,0.00478219165624845,0.011105880887263095,0.08774288065202425
20,0.002037223239694127,0.01982277537965886,0.0036794620088884287,0.044245897799056,-0.000800028344643094,0.01969546771753249,-0.016400447057791537,0.012568696337293518,0.019690643352940955,0.10453969043262973
21,-0.002232467715421773,0.021828013901793446,0.004349028963122358,0.04922068893743262,0.00019892548343189702,0.009740726006401083,-0.019722247745528658,0.013159404150532447,0.02411256019523029,0.10065463217699372
22,-0.0013569596479913468,0.021865978742134543,-0.0005141273310302559,0.050941883232573,0.0005772724743046048,0.006486723320954233,-0.020243325563985014,0.01180971940810641,0.02622813200586391,0.09579529664093007
23,-0.0005073141310539364,0.01812002216852899,-0.00036020038190435875,0.047995879702132406,0.0005154384571297852,0.005842297804756028,-0.021370110191666992,0.011438967652301403,0.02648445795692341,0.08815943903714672
