local_hour,hw_nohw_diff_U10,Total
0,0.23475607,0
1,0.22004835,0
2,0.20290332,0
3,0.18470336,0
4,0.16118994,0
5,0.094474934,0
6,0.061870314,0
7,0.013737907,0
8,-0.03763618,0
9,-0.06941932,0
10,-0.06086463,0
11,-0.03267864,0
12,-0.0013363323,0
13,0.025245998,0
14,0.08686722,0
15,0.14949597,0
16,0.19224204,0
17,0.2185246,0
18,0.23762478,0
19,0.26674932,0
20,0.27224174,0
21,0.27039263,0
22,0.2632154,0
23,0.250354,0
