local_hour,Double_Differencing_FIRA,Total
0,2.475861,0
1,2.4804447,0
2,2.5717306,0
3,2.6830077,0
4,2.8921452,0
5,3.2309227,0
6,3.423439,0
7,2.713006,0
8,0.96123165,0
9,-0.78411156,0
10,-1.8771167,0
11,-2.6626525,0
12,-3.1319222,0
13,-3.279063,0
14,-3.1336963,0
15,-2.7879016,0
16,-2.0512786,0
17,-0.53052616,0
18,1.0369401,0
19,2.1862304,0
20,2.2882464,0
21,2.3942604,0
22,2.4474015,0
23,2.4636617,0
