local_hour,hw_nohw_diff_Qstor,Total
0,1.3435421,0
1,0.9351624,0
2,0.7970718,0
3,0.58347493,0
4,0.2980503,0
5,-0.04827187,0
6,-0.2911589,0
7,0.61166495,0
8,3.7183862,0
9,6.952806,0
10,8.587252,0
11,8.660208,0
12,8.6744375,0
13,9.040585,0
14,9.1584635,0
15,8.903105,0
16,9.138241,0
17,7.9713283,0
18,6.3062305,0
19,3.5898428,0
20,2.713091,0
21,2.316994,0
22,1.8175067,0
23,1.5723788,0
