local_hour,Qstor,Total
0,-0.007770324335062225,-0.007770324335062225
1,-0.0058099627919673946,-0.0058099627919673946
2,-0.006133111493516668,-0.006133111493516668
3,-0.0057763425298502785,-0.0057763425298502785
4,-0.00570080028979904,-0.00570080028979904
5,-0.008462909327838292,-0.008462909327838292
6,-0.010052556628160883,-0.010052556628160883
7,-0.002529748572468962,-0.002529748572468962
8,0.003860533792712367,0.003860533792712367
9,0.0033760915376252988,0.0033760915376252988
10,0.002196311069388904,0.002196311069388904
11,0.002956815655187776,0.002956815655187776
12,0.0031777847597065636,0.0031777847597065636
13,0.0035572224381602243,0.0035572224381602243
14,0.003566652767177282,0.003566652767177282
15,0.0018734195265208255,0.0018734195265208255
16,0.0006516736828065014,0.0006516736828065014
17,-0.0012305542488398988,-0.0012305542488398988
18,-0.007259504800654261,-0.007259504800654261
19,-0.011847577724094017,-0.011847577724094017
20,-0.013830954978638326,-0.013830954978638326
21,-0.01137445620452333,-0.01137445620452333
22,-0.009599702784390587,-0.009599702784390587
23,-0.008955979226568168,-0.008955979226568168
