local_hour,hw_nohw_diff_SOILWATER_10CM,Total
0,-2.022629,0
1,-2.0310824,0
2,-2.0439954,0
3,-2.0518255,0
4,-2.0585546,0
5,-2.0625653,0
6,-2.0670571,0
7,-2.065983,0
8,-2.0531995,0
9,-2.0401676,0
10,-2.0259025,0
11,-2.0178006,0
12,-2.013171,0
13,-2.0053318,0
14,-1.9964594,0
15,-1.9885057,0
16,-1.9844935,0
17,-1.982819,0
18,-1.9847562,0
19,-1.9916965,0
20,-1.9987556,0
21,-2.006966,0
22,-2.0121255,0
23,-2.0179236,0
