local_hour,hw_nohw_diff_FSH,Total
0,-3.8979867,0
1,-3.6826725,0
2,-3.6768262,0
3,-3.5261762,0
4,-3.4655786,0
5,-3.830027,0
6,-4.389658,0
7,-4.9258323,0
8,-5.9592376,0
9,-5.2857733,0
10,-2.0917714,0
11,1.2736213,0
12,4.2789316,0
13,6.246936,0
14,6.674512,0
15,5.464686,0
16,3.423131,0
17,0.21829723,0
18,-3.0570207,0
19,-5.8926096,0
20,-5.2009606,0
21,-4.4937234,0
22,-4.175984,0
23,-4.0415874,0
