local_hour,hw_nohw_diff_U10,Total
0,0.06904468,0
1,0.058059197,0
2,0.03526216,0
3,0.016992472,0
4,-0.003264567,0
5,-0.012849725,0
6,-0.026079647,0
7,-0.0783823,0
8,-0.14029168,0
9,-0.13222308,0
10,-0.10466459,0
11,-0.094703786,0
12,-0.0831926,0
13,-0.065343365,0
14,-0.039554518,0
15,-0.0108710015,0
16,0.002978566,0
17,0.030403415,0
18,0.06064715,0
19,0.08182789,0
20,0.08560959,0
21,0.09054185,0
22,0.08929499,0
23,0.08082175,0
