local_hour,hw_nohw_diff_SOILWATER_10CM,Total
0,-7.2963266,0
1,-7.271569,0
2,-7.330008,0
3,-7.326039,0
4,-7.32608,0
5,-7.290103,0
6,-7.2873,0
7,-7.2949605,0
8,-7.265485,0
9,-7.230987,0
10,-7.2049026,0
11,-7.203589,0
12,-7.2222075,0
13,-7.2468534,0
14,-7.2657294,0
15,-7.2874656,0
16,-7.322362,0
17,-7.3517094,0
18,-7.373976,0
19,-7.3723607,0
20,-7.3709283,0
21,-7.3704386,0
22,-7.339929,0
23,-7.3146443,0
