local_hour,HEAT_FROM_AC,Total
0,-0.0006547821090692392,-0.0006547821090692392
1,-0.0005406493491717185,-0.0005406493491717185
2,-0.0007493219339068875,-0.0007493219339068875
3,-0.00045068091403968396,-0.00045068091403968396
4,0.00013860700469340895,0.00013860700469340895
5,0.0023546373629650614,0.0023546373629650614
6,0.0025406938816233075,0.0025406938816233075
7,0.0002280582824260981,0.0002280582824260981
8,0.0006516641050353797,0.0006516641050353797
9,0.0009541811596945643,0.0009541811596945643
10,0.0007081155657310007,0.0007081155657310007
11,-0.00038787266631721846,-0.00038787266631721846
12,-0.0006177374169382178,-0.0006177374169382178
13,-0.0006222683267779857,-0.0006222683267779857
14,-0.000615976228700166,-0.000615976228700166
15,-0.0005627533592239668,-0.0005627533592239668
16,-0.0003690734010744911,-0.0003690734010744911
17,-3.927309326808665e-05,-3.927309326808665e-05
18,0.0013866903873449873,0.0013866903873449873
19,0.0031432953319921707,0.0031432953319921707
20,0.0010336141515051298,0.0010336141515051298
21,-8.37760658474875e-05,-8.37760658474875e-05
22,-0.00043221271701733766,-0.00043221271701733766
23,-0.000613177861198232,-0.000613177861198232
