local_hour,Double_Differencing_FGR,Total
0,-13.385574,0
1,-13.115004,0
2,-12.92501,0
3,-12.658053,0
4,-12.107555,0
5,-10.5416765,0
6,-7.0634027,0
7,-1.6551465,0
8,4.4766803,0
9,11.417926,0
10,15.862652,0
11,17.037212,0
12,14.91567,0
13,12.152697,0
14,8.350899,0
15,3.5487072,0
16,-2.418755,0
17,-8.091282,0
18,-13.62088,0
19,-18.360193,0
20,-17.219536,0
21,-15.098738,0
22,-14.259197,0
23,-13.800933,0
