local_hour,FGR,Total
0,0.00017079535741610226,0.00017079535741610226
1,0.0015835311001702564,0.0015835311001702564
2,0.0031754365356159646,0.0031754365356159646
3,0.004771669522961292,0.004771669522961292
4,0.006410880449578287,0.006410880449578287
5,0.004490114375769213,0.004490114375769213
6,-0.0017486716107403095,-0.0017486716107403095
7,0.005806465630047097,0.005806465630047097
8,0.006146098513919328,0.006146098513919328
9,0.004330857769475502,0.004330857769475502
10,0.006334594721274284,0.006334594721274284
11,0.010323438264187029,0.010323438264187029
12,0.008860413512720345,0.008860413512720345
13,0.00754738696940221,0.00754738696940221
14,0.006106205854836661,0.006106205854836661
15,0.005781886077169438,0.005781886077169438
16,0.0033219267954733653,0.0033219267954733653
17,0.0005817460952725945,0.0005817460952725945
18,-0.001380182969611723,-0.001380182969611723
19,-0.0010930256035299023,-0.0010930256035299023
20,0.002037223239694127,0.002037223239694127
21,-0.002232467715421773,-0.002232467715421773
22,-0.0013569596479913468,-0.0013569596479913468
23,-0.0005073141310539364,-0.0005073141310539364
