local_hour,FSA,Total
0,-0.00011515356415459823,-0.00011515356415459823
1,-8.263015323620374e-05,-8.263015323620374e-05
2,0.0003618325972758001,0.0003618325972758001
3,0.005147458676049207,0.005147458676049207
4,0.020883576094684105,0.020883576094684105
5,0.022142657349057904,0.022142657349057904
6,0.02634135228048741,0.02634135228048741
7,0.02725524695124,0.02725524695124
8,0.00627843510597545,0.00627843510597545
9,-0.004003096549227619,-0.004003096549227619
10,0.006020321348801479,0.006020321348801479
11,0.002223417273333305,0.002223417273333305
12,-0.004927080428625591,-0.004927080428625591
13,-0.007113820700475365,-0.007113820700475365
14,-0.0071201171462816045,-0.0071201171462816045
15,-0.005744918575448011,-0.005744918575448011
16,-0.002920732744972685,-0.002920732744972685
17,0.0012501547093493094,0.0012501547093493094
18,0.00468033009758917,0.00468033009758917
19,0.004024521314158456,0.004024521314158456
20,0.0036794620088884287,0.0036794620088884287
21,0.004349028963122358,0.004349028963122358
22,-0.0005141273310302559,-0.0005141273310302559
23,-0.00036020038190435875,-0.00036020038190435875
