local_hour,FIRA,Total
0,0.004113144876144337,0.004113144876144337
1,0.0024904487044163613,0.0024904487044163613
2,0.0005694183123228198,0.0005694183123228198
3,-0.00038711071997687854,-0.00038711071997687854
4,-0.002241481535488978,-0.002241481535488978
5,0.0026949848098840384,0.0026949848098840384
6,-0.0003779812781444494,-0.0003779812781444494
7,-0.008953546658900182,-0.008953546658900182
8,-0.022248866987940288,-0.022248866987940288
9,-0.01033755010687309,-0.01033755010687309
10,-0.008620652056483574,-0.008620652056483574
11,-0.0014114960638951025,-0.0014114960638951025
12,0.004840162394136708,0.004840162394136708
13,0.008896685660764767,0.008896685660764767
14,0.010560143438965643,0.010560143438965643
15,0.01423445579957825,0.01423445579957825
16,0.01914295289823116,0.01914295289823116
17,0.01789508104008005,0.01789508104008005
18,0.014782461353448455,0.014782461353448455
19,0.007322891436491461,0.007322891436491461
20,0.0014475695261740307,0.0014475695261740307
21,0.0014212365301287085,0.0014212365301287085
22,0.0019560894196639076,0.0019560894196639076
23,0.0018073659142396918,0.0018073659142396918
