local_hour,Double_Differencing_FIRA,Total
0,3.154608,0
1,3.1819534,0
2,3.205779,0
3,3.2185316,0
4,3.2517822,0
5,3.5440638,0
6,4.0663457,0
7,2.925066,0
8,0.940598,0
9,-0.14444897,0
10,-0.8121274,0
11,-1.3407106,0
12,-1.5749171,0
13,-1.5076932,0
14,-0.883927,0
15,0.49969506,0
16,2.1745076,0
17,3.73062,0
18,4.7818336,0
19,4.197715,0
20,3.2437236,0
21,3.147882,0
22,3.0886607,0
23,3.0895922,0
