local_hour,HEAT_FROM_AC,FSH,FSA,FGR,SOILWATER_10CM,U10,FIRA,Q2M,Qstor,Total
0,-0.0006547821090692392,-0.0178107415057336,3.163544656594011e-05,0.0017029341681452988,0.006992243568174205,0.005364679623190927,0.004113144876144337,0.001676799126585572,0.01701135716189767,0.29121813084406156
1,-0.0005406493491717185,-0.01857451486119034,1.9940374372139408e-05,0.0005770532187214514,0.005998225301590472,0.00459442210917967,0.0024904487044163613,0.0021501393752840817,0.017648729669521898,0.2987520625374935
2,-0.0007493219339068875,-0.021120493997051494,-0.00018383742798289783,9.892531379659321e-05,0.005100765852791263,0.0025501501600755146,0.0005694183123228198,0.0015279390043889066,0.018500176516693143,0.3025515177784659
3,-0.00045068091403968396,-0.02286977268985244,-0.0019829746228864076,-0.00027301256023250643,0.005193795782412114,0.0018585686106872298,-0.00038711071997687854,0.0013664635755217423,0.019065482525714328,0.3097849978622759
4,0.00013860700469340895,-0.023732834882786106,-0.008483345978943672,-0.00044524269083292395,0.003973045574930347,0.003939633491975736,-0.002241481535488978,0.002831881243598247,0.019339308723062346,0.32606246307600467
5,0.0023546373629650614,-0.017279731017312262,-0.014608992303975879,0.006088441884252099,0.003471465978750675,0.00912829136968248,0.0026949848098840384,0.00376918884223266,0.019325974586050895,0.3819555692565737
6,0.0025406938816233075,-0.006252724825409158,0.00015213090615435383,0.006856838663400884,0.008232736597928102,0.006811260223485411,-0.0003779812781444494,0.009746212118660787,0.01988208412911821,0.42343183313036487
7,0.0002280582824260981,-0.003082040267831304,0.00939068688641066,-0.0016362109692189064,0.010971627695230277,0.0060940287629712205,-0.008953546658900182,0.007299299502156296,0.0011360548286010114,0.25879984056923366
8,0.0006516641050353797,-0.004133690711408754,0.0015187561521044792,-0.008997308941231378,0.004646708530860012,0.003335423556793249,-0.022248866987940288,0.0049959557717975615,-0.00685260029781677,0.006431574870012023
9,0.0009541811596945643,0.002507589379700876,0.004417631522074309,-0.012392959910901901,0.0018503174604101037,0.003299393453673438,-0.01033755010687309,0.007754096505813026,-0.008602026941169195,-0.051994573033270736
10,0.0007081155657310007,0.00705827867618892,0.004212307027940986,-0.007082471383419181,-0.0009300233900489393,-0.0004903978389825732,-0.008620652056483574,0.012455374998010792,-0.008068481388614598,-0.018774688252692733
11,-0.00038787266631721846,0.003389186914716398,0.00019973216748781324,-0.0032396308202311576,-0.0006497601387199263,0.005612553491119637,-0.0014114960638951025,0.0066023648761448,-0.006471350617754694,0.014906995014044893
12,-0.0006177374169382178,0.003770495047717065,-0.003871680301924878,-0.0017241154009866725,0.0001322691914289165,0.007423363896873098,0.004840162394136708,0.0063327205957131065,-0.0047737235377359934,0.03418512481283058
13,-0.0006222683267779857,0.0019463837390855249,-0.0031024689852643087,-0.0016486346097164823,0.0006829677003943582,0.008014696798628889,0.008896685660764767,0.0026099406024717147,-0.0035837275970099715,0.043470768493037035
14,-0.000615976228700166,0.0025649898116508175,-0.0043093493791908355,-0.0010197479765595993,0.001252131958094328,0.006474498576903333,0.010560143438965643,0.0018376959925888734,-0.0032278632288592546,0.06047619104368587
15,-0.0005627533592239668,0.0022463234345523535,-0.003900724324427363,-0.0013617752643250063,0.0023437420683849433,0.005745396290264691,0.01423445579957825,0.002793330204659576,-0.0027130366189352874,0.09423801243365451
16,-0.0003690734010744911,0.001530642667466812,-0.0018812683351160711,-0.0012329268440903734,0.0030657316311024168,0.0038824383764992955,0.01914295289823116,0.003439105494971839,-0.00019532966598169606,0.14191845705360917
17,-3.927309326808665e-05,0.0017549737528759536,-0.0014184071203962932,0.0007066404568409365,0.003921747096513711,0.004018655647742119,0.01789508104008005,0.006838186941604464,0.0017033424807704357,0.1961670451691952
18,0.0013866903873449873,0.0022469836769580167,-0.0020056066140888653,0.006929716361741652,0.005292978330257433,0.004852439918555908,0.014782461353448455,0.007463115667085456,0.006949825295188111,0.26655041857533307
19,0.0031432953319921707,-0.012049254575115357,0.001469658586829916,0.0133843815811934,0.009803067109101579,0.006809596148793608,0.007322891436491461,-0.0013375055876017937,0.01737645382272016,0.32020291503282394
20,0.0010336141515051298,-0.02945060136417122,0.0022816883314149623,0.006998311729865531,0.012535973004699018,0.005186495427142369,0.0014475695261740307,-0.001970949932831161,0.015345456022053283,0.2815972363025727
21,-8.37760658474875e-05,-0.028454003205363326,-0.0025441652539589773,0.00294324096938172,0.009833347816753912,0.003983157284824135,0.0014212365301287085,0.003010036829768719,0.015999994696556122,0.2714163062104734
22,-0.00043221271701733766,-0.027493515089564626,-1.2510246573931343e-05,0.0021534626605569304,0.007762968351803701,0.0039951493702995375,0.0019560894196639076,0.0010187305537924015,0.01671625207875999,0.27191675857721687
23,-0.000613177861198232,-0.02427639008247167,8.195012591523203e-05,0.0019387665691910274,0.007192234088587456,0.004814834199609493,0.0018073659142396918,0.0012097297043824405,0.01672704206834032,0.2756669751410682
