local_hour,Qstor,Total
0,0.01701135716189767,0.01701135716189767
1,0.017648729669521898,0.017648729669521898
2,0.018500176516693143,0.018500176516693143
3,0.019065482525714328,0.019065482525714328
4,0.019339308723062346,0.019339308723062346
5,0.019325974586050895,0.019325974586050895
6,0.01988208412911821,0.01988208412911821
7,0.0011360548286010114,0.0011360548286010114
8,-0.00685260029781677,-0.00685260029781677
9,-0.008602026941169195,-0.008602026941169195
10,-0.008068481388614598,-0.008068481388614598
11,-0.006471350617754694,-0.006471350617754694
12,-0.0047737235377359934,-0.0047737235377359934
13,-0.0035837275970099715,-0.0035837275970099715
14,-0.0032278632288592546,-0.0032278632288592546
15,-0.0027130366189352874,-0.0027130366189352874
16,-0.00019532966598169606,-0.00019532966598169606
17,0.0017033424807704357,0.0017033424807704357
18,0.006949825295188111,0.006949825295188111
19,0.01737645382272016,0.01737645382272016
20,0.015345456022053283,0.015345456022053283
21,0.015999994696556122,0.015999994696556122
22,0.01671625207875999,0.01671625207875999
23,0.01672704206834032,0.01672704206834032
