local_hour,hw_nohw_diff_Qstor,Total
0,-1.2337593,0
1,-1.3559908,0
2,-1.5773376,0
3,-1.9184624,0
4,-2.3334541,0
5,-2.9288874,0
6,-3.3895695,0
7,-0.57947546,0
8,4.774632,0
9,10.950084,0
10,15.253838,0
11,16.939487,0
12,17.511564,0
13,16.579962,0
14,14.227441,0
15,10.66129,0
16,6.3436036,0
17,2.4799325,0
18,-0.68595934,0
19,-2.207726,0
20,-1.2587378,0
21,-1.1024014,0
22,-1.2689353,0
23,-1.3007014,0
