local_hour,hw_nohw_diff_FSH,Total
0,-3.5330486,0
1,-3.4999251,0
2,-3.3793943,0
3,-3.0656772,0
4,-2.9339306,0
5,-4.029938,0
6,-6.058333,0
7,-7.2421045,0
8,-6.6738915,0
9,-2.0830889,0
10,6.704879,0
11,16.499548,0
12,24.599192,0
13,28.320137,0
14,27.020697,0
15,19.908998,0
16,8.934486,0
17,-0.49204412,0
18,-6.5412135,0
19,-6.6579175,0
20,-3.8492627,0
21,-3.258308,0
22,-3.1542187,0
23,-3.200043,0
