local_hour,Double_Differencing_FGR,Total
0,-10.750132,0
1,-10.48375,0
2,-10.395029,0
3,-10.189768,0
4,-8.7210455,0
5,-6.546676,0
6,-3.5202785,0
7,-0.34028077,0
8,2.4869306,0
9,6.9772005,0
10,10.79652,0
11,12.560948,0
12,12.908153,0
13,11.124003,0
14,7.344067,0
15,2.4532948,0
16,-2.7728777,0
17,-7.495363,0
18,-11.225771,0
19,-13.484494,0
20,-13.484125,0
21,-12.487655,0
22,-11.745126,0
23,-11.238988,0
