local_hour,Q2M,Total
0,-0.01192649048768001,-0.01192649048768001
1,-0.01184113443675335,-0.01184113443675335
2,-0.012414480393758576,-0.012414480393758576
3,-0.010655463801335469,-0.010655463801335469
4,-0.007224384338931477,-0.007224384338931477
5,-0.0035471494979178488,-0.0035471494979178488
6,0.004567870194225881,0.004567870194225881
7,0.004040188900272667,0.004040188900272667
8,0.008065256372121743,0.008065256372121743
9,0.005113132607686973,0.005113132607686973
10,0.010685234209614706,0.010685234209614706
11,0.0031703961305633247,0.0031703961305633247
12,-0.0037067429265406314,-0.0037067429265406314
13,-0.011077297401476529,-0.011077297401476529
14,-0.017583314363786087,-0.017583314363786087
15,-0.025682337759361927,-0.025682337759361927
16,-0.036584924923386955,-0.036584924923386955
17,-0.051730901990844964,-0.051730901990844964
18,-0.06660684444651532,-0.06660684444651532
19,-0.0549081838844389,-0.0549081838844389
20,-0.023939824892756405,-0.023939824892756405
21,-0.01317464013484108,-0.01317464013484108
22,-0.01295489240872903,-0.01295489240872903
23,-0.011948711583324624,-0.011948711583324624
