local_hour,delta_FSA,Total
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,0.002903682,0
5,0.0045815404,0
6,-1.6811634,0
7,-7.2880044,0
8,-13.301763,0
9,-20.595343,0
10,-31.452406,0
11,-39.47244,0
12,-44.1151,0
13,-45.39114,0
14,-41.528,0
15,-34.352936,0
16,-25.699411,0
17,-17.519506,0
18,-10.021542,0
19,-2.273732,0
20,0.05293461,0
21,0.001420808,0
22,0.0,0
23,0.0,0
