local_hour,FGR,FIRA,FSA,FSH,HEAT_FROM_AC,Q2M,Qstor,SOILWATER_10CM,U10,Total
0,-0.005764346549761649,-0.013543016978884725,1.0690812296667542e-05,-0.00882541135654871,-0.00011098025270072547,-0.01192649048768001,-0.007770324335062225,-0.02678511223487093,-0.016316767922766665,-0.09103175930597897
1,-0.006786059965189085,-0.0171893316793858,-9.55556021365629e-10,-0.01295760548591048,-6.313525874272634e-05,-0.01184113443675335,-0.0058099627919673946,-0.025905884115536414,-0.016550421626945554,-0.09710353631598684
2,-0.007606907672429918,-0.017501048494404887,-0.0002266852839036033,-0.013235101972270564,1.6520051370348748e-05,-0.012414480393758576,-0.006133111493516668,-0.024347704345964918,-0.01661391854329668,-0.09806243814817546
3,-0.008835145348576144,-0.016615983696880984,-0.0025068873013994676,-0.0126378309087208,9.474970290072903e-05,-0.010655463801335469,-0.0057763425298502785,-0.020944718862084204,-0.01453679186718896,-0.09241441461313557
4,-0.010845406812830298,-0.0052393999272256665,-0.010530772419150425,-0.0098999035062187,6.29386699012531e-05,-0.007224384338931477,-0.00570080028979904,-0.01609656105495595,-0.006990066151000984,-0.07246435583021128
5,-0.016133524512200334,0.004810194418990056,-0.01547291235909412,-0.017287846154576816,-7.756006811155478e-05,-0.0035471494979178488,-0.008462909327838292,-0.010727527958560442,0.005235469879643562,-0.0616637655796658
6,-0.018618250106130517,-0.015206930840220128,-0.006715252882393368,-0.01631673895695442,-0.00044087236600989766,0.004567870194225881,-0.010052556628160883,-0.018765914821881405,0.016577149566114457,-0.06497149684141028
7,-0.01203314329824219,0.010707165031288128,-0.004994823708604069,-0.0032932000189564523,-0.00014514448743984315,0.004040188900272667,-0.002529748572468962,-0.029563636644969384,0.0299829809467602,-0.007829361852359901
8,0.007471657580830429,0.0056982284411176256,0.001812401505042955,0.009204200501802678,-0.00032185747682724917,0.008065256372121743,0.003860533792712367,-0.018855793382622076,0.02799014334411564,0.04492477067829412
9,0.014780825069471029,-0.022508128130418678,0.010455640842964757,0.001199648962421696,-8.481552812984165e-05,0.005113132607686973,0.0033760915376252988,-0.002879392410625101,0.016068857203433626,0.025521860154429758
10,0.00867557876978872,-0.016025502388776716,-0.000958795483850561,-0.0010988169588167685,0.00017663674828237143,0.010685234209614706,0.002196311069388904,0.01312735093176009,-0.004500531949892013,0.012277464947498736
11,0.0033368659251796213,-0.011448219922222471,0.01006647656575043,-0.006790711656904287,0.00048665918262575,0.0031703961305633247,0.002956815655187776,0.009079292606824548,-0.006638389025541147,0.0042191854614635465
12,-0.00024022203209126146,-0.008244256077544707,0.022154189009617516,-0.007599448808789087,0.0009373767028391562,-0.0037067429265406314,0.0031777847597065636,0.006866212504646174,-0.008246386595886461,0.005098506535957262
13,-0.00028540994900436286,-0.0029755509139094663,0.026148886992023834,-0.008287269574285116,0.0013748278338405375,-0.011077297401476529,0.0035572224381602243,0.006708601131533862,-0.008739791236447185,0.006424219320435796
14,0.0006546895149185619,-0.0048584475394193105,0.024510466999457792,-0.005169524755443708,0.0014343297741860972,-0.017583314363786087,0.003566652767177282,0.005030480248548611,-0.009202218712850114,-0.0016168860672108737
15,0.0007690496916294398,-0.013887147907991556,0.02393207790374417,-0.0023231693929241224,0.0011109361970442458,-0.025682337759361927,0.0018734195265208255,0.00026251355373522605,-0.009333531563361024,-0.023278189750964722
16,-0.0004974560840612478,-0.02520974927720805,0.019562918688699037,0.0005341499662260418,0.000989798118772916,-0.036584924923386955,0.0006516736828065014,-0.0035002661212705593,-0.00848712786036454,-0.052540983809786855
17,-0.0012340307179298012,-0.028110686107497267,0.01003925752895143,0.0007138939899130881,0.0009203193395880459,-0.051730901990844964,-0.0012305542488398988,-0.0017900719043132767,-0.009050919584311137,-0.08147369369528377
18,-0.007286027777037768,-0.02615082992605395,0.006473639394831062,-0.0003279218444668168,0.0010046033933222374,-0.06660684444651532,-0.007259504800654261,-0.005730433027386041,-0.010345229930794788,-0.11622854896475565
19,-0.014280557081313825,-0.02112005713145609,-0.0037645644184344756,-0.007255771246610353,0.0008448159082871179,-0.0549081838844389,-0.011847577724094017,-0.01681044504695611,-0.015271008166560709,-0.14441334879157736
20,-0.006344234104524789,-0.01581442814003557,-0.0008825793703081831,-0.003953514863598004,0.0001557762050001598,-0.023939824892756405,-0.013830954978638326,-0.03478543815394252,-0.019523733737755525,-0.11891893203655916
21,-0.006170263895847321,-0.014170621333930879,-0.0024762988324518067,-0.004914255591026242,-8.230131943614195e-05,-0.01317464013484108,-0.01137445620452333,-0.032452123631698214,-0.01864949353509109,-0.1034644544788461
22,-0.00617491440611944,-0.012832545229801161,-7.172980969152217e-05,-0.007709148127994239,8.174327469095974e-05,-0.01295489240872903,-0.009599702784390587,-0.0297375122348604,-0.017645076953186713,-0.09664377868008214
23,-0.004866008695263571,-0.012827540776714684,4.4774064774135784e-05,-0.006966337152763834,4.269233646858193e-05,-0.011948711583324624,-0.008955979226568168,-0.028550838320048164,-0.01668310960053254,-0.09071105895397287
