local_hour,FSA,Total
0,3.163544656594011e-05,3.163544656594011e-05
1,1.9940374372139408e-05,1.9940374372139408e-05
2,-0.00018383742798289783,-0.00018383742798289783
3,-0.0019829746228864076,-0.0019829746228864076
4,-0.008483345978943672,-0.008483345978943672
5,-0.014608992303975879,-0.014608992303975879
6,0.00015213090615435383,0.00015213090615435383
7,0.00939068688641066,0.00939068688641066
8,0.0015187561521044792,0.0015187561521044792
9,0.004417631522074309,0.004417631522074309
10,0.004212307027940986,0.004212307027940986
11,0.00019973216748781324,0.00019973216748781324
12,-0.003871680301924878,-0.003871680301924878
13,-0.0031024689852643087,-0.0031024689852643087
14,-0.0043093493791908355,-0.0043093493791908355
15,-0.003900724324427363,-0.003900724324427363
16,-0.0018812683351160711,-0.0018812683351160711
17,-0.0014184071203962932,-0.0014184071203962932
18,-0.0020056066140888653,-0.0020056066140888653
19,0.001469658586829916,0.001469658586829916
20,0.0022816883314149623,0.0022816883314149623
21,-0.0025441652539589773,-0.0025441652539589773
22,-1.2510246573931343e-05,-1.2510246573931343e-05
23,8.195012591523203e-05,8.195012591523203e-05
