local_hour,hw_nohw_diff_HEAT_FROM_AC,Total
0,0.007812821,0
1,0.00704808,0
2,0.0063694897,0
3,0.005754248,0
4,0.005229281,0
5,0.0047595673,0
6,0.0044202977,0
7,0.004299947,0
8,0.004500859,0
9,0.0050219195,0
10,0.005653656,0
11,0.0064121084,0
12,0.007244313,0
13,0.008170789,0
14,0.009177808,0
15,0.010239259,0
16,0.011223598,0
17,0.011907686,0
18,0.012845793,0
19,0.012438761,0
20,0.011613136,0
21,0.010589951,0
22,0.009598823,0
23,0.008662704,0
