local_hour,hw_nohw_diff_SOILWATER_10CM,Total
0,-4.0699825,0
1,-4.0924563,0
2,-4.1008253,0
3,-4.0926633,0
4,-4.087228,0
5,-4.087212,0
6,-4.0925083,0
7,-4.095637,0
8,-4.106519,0
9,-4.105569,0
10,-4.104105,0
11,-4.1013165,0
12,-4.101166,0
13,-4.0985503,0
14,-4.0949655,0
15,-4.0930247,0
16,-4.0938935,0
17,-4.10176,0
18,-4.1281486,0
19,-4.1265945,0
20,-4.119745,0
21,-4.109349,0
22,-4.095141,0
23,-4.080781,0
