local_hour,hw_nohw_diff_U10,Total
0,-0.03417303,0
1,-0.044831548,0
2,-0.052984513,0
3,-0.05719827,0
4,-0.06232811,0
5,-0.08633467,0
6,-0.13034336,0
7,-0.2180731,0
8,-0.27856636,0
9,-0.28500423,0
10,-0.26711354,0
11,-0.24932314,0
12,-0.22762758,0
13,-0.20216331,0
14,-0.16806433,0
15,-0.13576643,0
16,-0.10901628,0
17,-0.09159689,0
18,-0.083071604,0
19,-0.075607866,0
20,-0.041476127,0
21,-0.023308534,0
22,-0.018130476,0
23,-0.021376679,0
