local_hour,hw_nohw_diff_Qstor,Total
0,-9.125279,0
1,-9.20194,0
2,-9.631668,0
3,-9.668959,0
4,-9.610665,0
5,-9.004421,0
6,-6.8057313,0
7,0.10540697,0
8,10.6324625,0
9,24.653252,0
10,36.915012,0
11,39.13738,0
12,38.389484,0
13,35.649113,0
14,28.37361,0
15,15.360161,0
16,4.072687,0
17,-2.1071892,0
18,-7.9369235,0
19,-9.49269,0
20,-9.251888,0
21,-9.021427,0
22,-9.094194,0
23,-9.141527,0
