local_hour,FIRA,Total
0,0.02328466609929754,0.02328466609929754
1,0.022562106494718057,0.022562106494718057
2,0.022047259646800765,0.022047259646800765
3,0.021088043471717215,0.021088043471717215
4,0.020711026766544686,0.020711026766544686
5,0.026643917906472678,0.026643917906472678
6,0.008067729704427679,0.008067729704427679
7,0.017852776889788712,0.017852776889788712
8,0.01776757195807513,0.01776757195807513
9,-0.010288701028621356,-0.010288701028621356
10,-0.020921402867496153,-0.020921402867496153
11,-0.010149699172497199,-0.010149699172497199
12,-0.005413122822411755,-0.005413122822411755
13,-0.00288083120383677,-0.00288083120383677
14,-0.00037235833630876815,-0.00037235833630876815
15,0.004045934546709805,0.004045934546709805
16,0.00813553638245403,0.00813553638245403
17,0.00873338670079047,0.00873338670079047
18,0.010393439571177547,0.010393439571177547
19,0.007511720881923678,0.007511720881923678
20,0.01639400931349796,0.01639400931349796
21,0.02101378520608652,0.02101378520608652
22,0.024324059230121983,0.024324059230121983
23,0.023690793825879127,0.023690793825879127
