local_hour,delta_FSA,Total
0,0.0,0
1,0.0,0
2,0.0,0
3,0.00012874132,0
4,0.003364486,0
5,0.037662365,0
6,0.4874431,0
7,2.757043,0
8,8.970092,0
9,17.379713,0
10,24.190008,0
11,29.351864,0
12,32.544483,0
13,32.902664,0
14,30.607098,0
15,25.655888,0
16,18.403637,0
17,9.88208,0
18,2.7736318,0
19,0.16613685,0
20,-0.0036812841,0
21,0.004482463,0
22,7.3477655e-05,0
23,0.0,0
