local_hour,SOILWATER_10CM,Total
0,0.006992243568174205,0.006992243568174205
1,0.005998225301590472,0.005998225301590472
2,0.005100765852791263,0.005100765852791263
3,0.005193795782412114,0.005193795782412114
4,0.003973045574930347,0.003973045574930347
5,0.003471465978750675,0.003471465978750675
6,0.008232736597928102,0.008232736597928102
7,0.010971627695230277,0.010971627695230277
8,0.004646708530860012,0.004646708530860012
9,0.0018503174604101037,0.0018503174604101037
10,-0.0009300233900489393,-0.0009300233900489393
11,-0.0006497601387199263,-0.0006497601387199263
12,0.0001322691914289165,0.0001322691914289165
13,0.0006829677003943582,0.0006829677003943582
14,0.001252131958094328,0.001252131958094328
15,0.0023437420683849433,0.0023437420683849433
16,0.0030657316311024168,0.0030657316311024168
17,0.003921747096513711,0.003921747096513711
18,0.005292978330257433,0.005292978330257433
19,0.009803067109101579,0.009803067109101579
20,0.012535973004699018,0.012535973004699018
21,0.009833347816753912,0.009833347816753912
22,0.007762968351803701,0.007762968351803701
23,0.007192234088587456,0.007192234088587456
