local_hour,delta_FSA,Total
0,0.0025595722,0
1,0.0023671524,0
2,0.0065652286,0
3,0.0378288,0
4,0.25115946,0
5,1.0772567,0
6,2.9962094,0
7,6.9969463,0
8,13.966799,0
9,22.49466,0
10,30.339819,0
11,36.358463,0
12,39.831657,0
13,40.016407,0
14,36.89767,0
15,30.938519,0
16,23.076315,0
17,14.488466,0
18,7.2535195,0
19,3.1325214,0
20,1.1894767,0
21,0.26070467,0
22,0.033901338,0
23,0.0075614336,0
