local_hour,hw_nohw_diff_FSH,Total
0,2.4550421,0
1,2.3722541,0
2,2.0550892,0
3,1.7078644,0
4,1.3173,0
5,-1.46738,0
6,-3.9124465,0
7,-2.9074554,0
8,1.7964509,0
9,14.919865,0
10,37.11777,0
11,56.323177,0
12,71.407455,0
13,79.79175,0
14,78.11704,0
15,61.004013,0
16,37.44216,0
17,20.47937,0
18,7.176201,0
19,4.626228,0
20,4.109288,0
21,3.4094782,0
22,3.0642557,0
23,2.7030141,0
