local_hour,Double_Differencing_FIRA,Total
0,2.9912434,0
1,3.1262987,0
2,3.2416794,0
3,3.289701,0
4,3.311889,0
5,3.4988415,0
6,3.7138262,0
7,2.589017,0
8,0.7518989,0
9,-0.5885638,0
10,-1.3484185,0
11,-2.2171907,0
12,-2.9404316,0
13,-2.8910213,0
14,-2.103112,0
15,-0.75335187,0
16,1.0087463,0
17,2.7425513,0
18,4.0407505,0
19,4.416061,0
20,3.6079347,0
21,3.240052,0
22,3.0938337,0
23,3.0134106,0
