local_hour,Q2M,Total
0,0.005738701614437909,0.005738701614437909
1,0.00629404992349916,0.00629404992349916
2,0.006298657506460419,0.006298657506460419
3,0.006861825824410781,0.006861825824410781
4,0.005739976608199049,0.005739976608199049
5,0.008331259444457938,0.008331259444457938
6,0.014517179592522494,0.014517179592522494
7,-0.0037362621936847264,-0.0037362621936847264
8,-0.0022197057658884375,-0.0022197057658884375
9,0.013418531625530696,0.013418531625530696
10,0.01302455940213666,0.01302455940213666
11,-0.0007094646216263455,-0.0007094646216263455
12,-0.007876269604045994,-0.007876269604045994
13,-0.009611494985958435,-0.009611494985958435
14,-0.007469707673444422,-0.007469707673444422
15,-0.0013274982163903571,-0.0013274982163903571
16,0.009373748809177587,0.009373748809177587
17,0.022881825267506012,0.022881825267506012
18,0.032767597769182435,0.032767597769182435
19,0.042260627237716716,0.042260627237716716
20,0.01969546771753249,0.01969546771753249
21,0.009740726006401083,0.009740726006401083
22,0.006486723320954233,0.006486723320954233
23,0.005842297804756028,0.005842297804756028
